Weightings,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,805.92,253.00,1,[172],0.0020008087158203125,1068.60,[2],-gneE61,-gneE47
A,500,523.67,224.00,1,[172],0.0020020008087158203,1058.29,[2],gneE114,-gneE50
A,500,1021.32,366.00,1,[163],0.006004810333251953,1140.18,[2],gneE132,gneE107
A,500,301.69,226.00,1,[163],0.005505800247192383,1077.19,[2],gneE68,-gneE125
A,500,1045.36,391.00,1,[172],0.006003856658935547,1157.89,[2],gneE65,-gneE53
A,500,776.19,283.00,1,[197],0.007505655288696289,1059.43,[1],-gneE78,gneE49
A,500,726.39,239.00,1,[197],0.005505561828613281,1098.81,[1],gneE96,-gneE69
A,500,534.02,384.00,1,[163],0.005504131317138672,1084.49,[2],-gneE127,-gneE64
A,500,1232.13,477.00,1,[197],0.007006168365478516,1158.41,[1],-gneE67,-gneE61
A,500,1090.98,314.00,1,[157],0.007005453109741211,1073.61,[0],gneE124,gneE52
